,class,tax_order,family,genus,species
150522,Actinopterygii,Mugiliformes,Mugilidae,Liza,vaigiensis
150560,Actinopterygii,Perciformes,Gobiidae,Clevelandia,ios
150561,Actinopterygii,Perciformes,Sparidae,Pagrus,major
150868,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,splendida
150888,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,nigrans
150906,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,stercusmuscarum
150910,Actinopterygii,Salmoniformes,Salmonidae,Thymallus,thymallus
150954,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,argentinensis
150958,Actinopterygii,Siluriformes,Ariidae,Ariopsis,bonillai
150960,Actinopterygii,Siluriformes,Ariidae,Cathorops,spixii
150962,Actinopterygii,Siluriformes,Ariidae,Megalops,atlanticus
150964,Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,nobilis
150998,Actinopterygii,Perciformes,Haemulidae,Haemulon,sciurus
151005,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,aguabonita
151031,Actinopterygii,Perciformes,Ambassidae,Priopidichthys,sp.
151113,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,albus
151432,Actinopterygii,Perciformes,Nototheniidae,Pseudaphritis,urvillii
151467,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,maculatus
151543,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,lucius
151860,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,javanicus
151887,Actinopterygii,Perciformes,Centrarchidae,Lates,calcarifer
151976,Actinopterygii,Cypriniformes,Cyprinidae,Richardsonius,balteatus
151984,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,americanus
151986,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilus,blockii
151989,Actinopterygii,Perciformes,Osphronemidae,Colisa,lalia
152005,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,bairdi
152144,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,barbus
152151,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,stellatus
152211,Actinopterygii,Scorpaeniformes,Cottidae,Megalocottus,platycephalus
152212,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,masou
152273,Actinopterygii,Cypriniformes,Cyprinidae,Margariscus,margarita
152300,Actinopterygii,Characiformes,Characidae,Gymnocorymbus,ternetzi
152314,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,fasciatus
152370,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Negaprion,brevirostris
152371,Chondrichthyes,Orectolobiformes,Orectolobidae,Ginglymostoma,cirratum
152380,Actinopterygii,Cypriniformes,Cyprinidae,Tanichthys,albonubes
152584,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,holubi
152598,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,yokohamae
152643,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,albidus
152648,Actinopterygii,Cypriniformes,Cobitidae,Cobitis,taenia
152654,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,auratus
152658,Actinopterygii,Perciformes,Channidae,Channa,marulius
152683,Actinopterygii,Siluriformes,Bagridae,Sperata,seenghala
152688,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,bimaculatum
152716,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,dispar
152743,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,cognatus
152792,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,whipplei
152803,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,notatus
152811,Actinopterygii,Clupeiformes,Clupeidae,Alosa,aestivalis
152820,Actinopterygii,Clupeiformes,Clupeidae,Alosa,pseudoharengus
152825,Actinopterygii,Mugiliformes,Mugilidae,Mugil,carinatus
152826,Actinopterygii,Perciformes,Eleotridae,Mogurnda,mogurnda
152876,Actinopterygii,Esociformes,Umbridae,Umbra,limi
152889,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,fossilis
152914,Actinopterygii,Perciformes,Sciaenidae,Nibea,albiflora
152917,Actinopterygii,Perciformes,Gobiidae,Odontamblyopus,rubicundus
152919,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,hexapterus
152921,Actinopterygii,Perciformes,Moronidae,Morone,chrysops
152932,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,duboulayi
152978,Actinopterygii,Clupeiformes,Clupeidae,Nematalosa,erebi
152979,Actinopterygii,Perciformes,Percichthyidae,Macquaria,ambigua
153013,Actinopterygii,Perciformes,Teraponidae,Bidyanus,bidyanus
153036,Actinopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,melettinus
153040,Actinopterygii,Perciformes,Channidae,Ophiocephalus,punctatus
153052,Actinopterygii,Perciformes,Osphronemidae,Trichogaster,trichopterus
153087,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,ferrugineus
153140,Actinopterygii,Mugiliformes,Mugilidae,Valamugil,engeli
153141,Actinopterygii,Perciformes,Kuhliidae,Kuhlia,sandvicensis
153253,Actinopterygii,Clupeiformes,Engraulidae,Encrasicholina,purpurea
153257,Actinopterygii,Tetraodontiformes,Balistidae,Rudarius,ercodes
153279,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,guganio
153283,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis
153291,Actinopterygii,Perciformes,Sparidae,Chrysophrys,major
153312,Actinopterygii,Perciformes,Labridae,Tautogolabrus,adspersus
153357,Actinopterygii,Perciformes,Carangidae,Seriola,quinqueradiata
153381,Actinopterygii,Siluriformes,Bagridae,Tandanus,tandanus
153391,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,minutus
153471,Chondrichthyes,Rajiformes,Rajidae,Raja,radiata
153473,Actinopterygii,Siluriformes,Siluridae,Silurus,glanis
153564,Actinopterygii,Cyprinodontiformes,Aplocheilidae,Rivulus,cylindraceus
153569,Actinopterygii,Salmoniformes,Plecoglossidae,Plecoglossus,altivelis
153595,Actinopterygii,Atheriniformes,Atherinidae,Atherinosoma,microstoma
153602,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,sp.
153653,Actinopterygii,Perciformes,Serranidae,Serranus,scriba
153661,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,regius
153664,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,boga
153667,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,neilgherriensis
153670,Actinopterygii,Perciformes,Sparidae,Chrysophrys,auratus
153703,Actinopterygii,Mugiliformes,Mugilidae,Mugil,sp.
153722,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,fera
153779,Actinopterygii,Mugiliformes,Mugilidae,Liza,ramado
153798,Actinopterygii,Perciformes,Gobiidae,Gobiusculus,flavescens
153802,Actinopterygii,Cypriniformes,Cyprinidae,Gila,atraria
153803,Actinopterygii,Cypriniformes,Cyprinidae,Gila,copei
153804,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,sp.
153840,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,sp.
153864,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon,spathula
153870,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,sp.
153883,Actinopterygii,Characiformes,Characidae,Astyanax,fasciatus
153897,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinion,watsoni
153903,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,bifasciatus
153907,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,brama
153950,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,dorsalis
153965,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,schlegelii
154086,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,blennius
154088,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,catostomus
154097,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,cyanea
154147,Actinopterygii,Perciformes,Cichlidae,Herotilapia,multispinosa
154150,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,citrinellum
154151,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax
154152,Actinopterygii,Perciformes,Haemulidae,Haemulon,sp.
154153,Actinopterygii,Perciformes,Gerreidae,Eucinostomus,gula
154154,Actinopterygii,Perciformes,Gerreidae,Gerres,cinereus
154155,Actinopterygii,Cyprinodontiformes,Fundulidae,Lucania,parva
154156,Actinopterygii,Perciformes,Sparidae,Archosargus,probatocephalus
154176,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,gobio
154181,Actinopterygii,Perciformes,Gobiidae,Proterorhinus,marmoratus
154193,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,caspicus
154200,Actinopterygii,Atheriniformes,Melanotaeniidae,Pseudomugil,signifer
154204,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,mexicana
154220,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,japonicus
154231,Actinopterygii,Perciformes,Kyphosidae,Microcanthus,strigatus
154232,Actinopterygii,Tetraodontiformes,Balistidae,Navodon,modestus
154233,Chondrichthyes,Rajiformes,Rajidae,Raja,clavata
154244,Actinopterygii,Cypriniformes,Catostomidae,Xyrauchen,texanus
154470,Actinopterygii,Cypriniformes,Cyprinidae,Gila,elegans
154659,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,gilae
154909,Actinopterygii,Perciformes,Serranidae,Serranus,cabrilla
154910,Actinopterygii,Perciformes,Percidae,Perca,sp.
154936,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,confluentus
154940,Actinopterygii,Cypriniformes,Cyprinidae,Barilius,vagra
154947,Actinopterygii,Osteoglossiformes,Mormyridae,Gnathonemus,tamandua
154957,Actinopterygii,Perciformes,Gobiidae,Neogobius,melanostomus
154973,Actinopterygii,Perciformes,Gobiidae,Neogobius,fluviatilis
154975,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,huso
155003,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,ruthenus
155010,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,osculus
155014,Actinopterygii,Mugiliformes,Mugilidae,Mugil,saliens
155027,Actinopterygii,Perciformes,Zoarcidae,Zoarces,viviparus
155180,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,baerii
155266,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops
155268,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Adinia,xenica
155271,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,moriokae
155286,Actinopterygii,Siluriformes,Siluridae,Wallago,attu
155301,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,bata
155312,Actinopterygii,Cypriniformes,Cyprinidae,Vimba,vimba
155349,Actinopterygii,Perciformes,Sparidae,Diplodus,bermudensis
155350,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,rufus
155351,Actinopterygii,Perciformes,Haemulidae,Haemulon,flavolineatum
155352,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,monacha
155356,Chondrichthyes,Squaliformes,Squalidae,Squalus,acanthias
155442,Actinopterygii,Pleuronectiformes,Scophthalmidae,Psetta,maeotica
155449,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,appendix
155455,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,argentimaculatus
155465,Actinopterygii,Siluriformes,Callichthyidae,Callichthys,callichthys
155467,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilus,melanostigma
155471,Actinopterygii,Perciformes,Serranidae,Epinephelus,sp.
155479,Actinopterygii,Pleuronectiformes,Soleidae,Trinectes,maculatus
155481,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,ocellaris
155483,Actinopterygii,Cyprinodontiformes,Poeciliidae,Heterandria,formosa
155491,Actinopterygii,Cypriniformes,Balitoridae,Nemacheilus,botia
155500,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,nigrofasciatum
155514,Actinopterygii,Perciformes,Oplegnathidae,Oplegnathus,fasciatus
155522,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,anogenus
155528,Actinopterygii,Perciformes,Gobiidae,Gobio,gobio
155571,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,lavaretus
155665,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,peled
155678,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,stellatus
155703,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus
155708,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,sericeus
155725,Actinopterygii,Cypriniformes,Cyprinidae,Esomus,danricus
155801,Chondrichthyes,Rajiformes,Rajidae,Raja,ocellata
155802,Actinopterygii,Atheriniformes,Atherinidae,Basilichthys,australis
155805,Actinopterygii,Perciformes,Cichlidae,Tilapia,kottae
155806,Actinopterygii,Perciformes,Cichlidae,Hemichromis,fasciatus
155807,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,calbasu
155816,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,maculosus
155876,Actinopterygii,Perciformes,Eleotridae,Hypseleotris,galii
155881,Actinopterygii,Cypriniformes,Cyprinidae,Chalcalburnus,chalcoides
155889,Actinopterygii,Cypriniformes,Cyprinidae,Squalius,cephalus
155892,Actinopterygii,Cypriniformes,Cyprinidae,Zacco,platypus
155938,Actinopterygii,Siluriformes,Ictaluridae,Noturus,miurus
155944,Actinopterygii,Perciformes,Centrarchidae,Lepomis,marginatus
155945,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,sp.
155947,Actinopterygii,Perciformes,Anabantidae,Betta,splendens
155983,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,ballerus
155987,Actinopterygii,Perciformes,Labridae,Halichoeres,poecilopterus
155988,Actinopterygii,Tetraodontiformes,Tetraodontidae,Fugu,niphobles
155989,Actinopterygii,Perciformes,Centropomidae,Ambassis,sp.
156018,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,philander
156025,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,anoplus
156026,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,natalensis
156027,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,gurneyi
156028,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,leucostictus
156029,Chondrichthyes,Rajiformes,Rajidae,Raja,eglanteria
156030,Actinopterygii,Tetraodontiformes,Tetraodontidae,Monacanthus,hispidus
156046,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,migratorius
156047,Actinopterygii,Perciformes,Nandidae,Nandus,nandus
156050,Actinopterygii,Cypriniformes,Cyprinidae,Zacco,temmincki
156130,Actinopterygii,Gadiformes,Gadidae,Pollachius,virens
156174,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,spinachia
156175,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius
156179,Actinopterygii,Siluriformes,Pimelodidae,Pimelodus,maculatus
156181,Actinopterygii,Perciformes,Pomacentridae,Chromis,punctipinnis
156193,Chondrichthyes,Rajiformes,Rajidae,Leucoraja,erinacea
156243,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,lethostigma
156244,Chondrichthyes,Rajiformes,Dasyatidae,Dasyatis,sabina
156246,Actinopterygii,Gadiformes,Gadidae,Microgadus,tomcod
156293,Actinopterygii,Perciformes,Cichlidae,Tilapia,spilurus
156296,Actinopterygii,Perciformes,Cichlidae,Australoheros,facetus
156336,Actinopterygii,Cypriniformes,Cyprinidae,Nothobranchius,guentheri
156396,Actinopterygii,Perciformes,Percidae,Eupomatis,gibbosus
156398,Actinopterygii,Perciformes,Cichlidae,Tilapia,natalensis
156417,Actinopterygii,Perciformes,Cichlidae,Cichla,ocellaris
156425,Actinopterygii,Perciformes,Cichlidae,Astronotus,ocellatus
156437,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,vivipara
156469,Actinopterygii,Perciformes,Channidae,Channa,argus
156479,Actinopterygii,Siluriformes,Bagridae,Mystus,cavasius
156486,Actinopterygii,Perciformes,Cichlidae,Haplochromis,burtoni
156487,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,melanostictus
156489,Actinopterygii,Perciformes,Cichlidae,Sarotherodon,galilaeus
156492,Actinopterygii,Perciformes,Cichlidae,Etroplus,suratensis
156499,Actinopterygii,Cypriniformes,Cyprinidae,Danio,malabaricus
156502,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,williamsoni
156570,Actinopterygii,Cypriniformes,Cyprinidae,Nuria,danrica
156620,Actinopterygii,Mugiliformes,Mugilidae,Rhinomugil,corsula
156623,Actinopterygii,Perciformes,Gobiidae,Chasmichthys,gulosus
156639,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,dearborni
156644,Actinopterygii,Cypriniformes,Balitoridae,Noemacheilus,denisonii
156648,Actinopterygii,Cypriniformes,Cyprinidae,Nothobranchius,rachovii
156650,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,platessoides
156667,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,lumpus
156669,Actinopterygii,Perciformes,Gobiidae,Acanthogobius,flavimanus
156693,Actinopterygii,Perciformes,Centrarchidae,Chaenobryttus,gulosus
156696,Actinopterygii,Cypriniformes,Cyprinidae,Garra,mullya
156705,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilus,lineatus
156717,Actinopterygii,Perciformes,Osphronemidae,Pseudosphromenus,cupanus
156748,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,formosa
156753,Actinopterygii,Batrachoidiformes,Batrachoididae,Halobatrachus,didactylus
156762,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii
156785,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,kutum
156836,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,gibelio
157016,Actinopterygii,Batrachoidiformes,Batrachoididae,Opsanus,beta
157225,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,ocellaris
157231,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,sharpeyi
157238,Actinopterygii,Perciformes,Cichlidae,Geophagus,brasiliensis
157241,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,alpinus
157384,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,umbratus
157386,Actinopterygii,Perciformes,Centrarchidae,Micropterus,treculii
157390,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,sp.
157392,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Petromyzon,sp.
157396,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,sp.
157400,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,sp.
157420,Actinopterygii,Characiformes,Curimatidae,Semaprochilodus,insignis
157431,Actinopterygii,Cypriniformes,Cyprinidae,Opsariichthys,uncirostris
157433,Actinopterygii,Perciformes,Percidae,Gymnocephalus,cernuus
157454,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,muksun
157458,Actinopterygii,Siluriformes,Bagridae,Mystus,keletius
157464,Actinopterygii,Cypriniformes,Balitoridae,Noemacheilus,montanus
157484,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,sp.
157485,Actinopterygii,Siluriformes,Plotosidae,Cnidoglanis,macrocephalus
157488,Actinopterygii,Perciformes,Sillaginidae,Sillago,bassensis
157489,Actinopterygii,Atheriniformes,Atherinidae,Atherina,hepsetus
157491,Actinopterygii,Mugiliformes,Mugilidae,Liza,aurata
157515,Actinopterygii,Perciformes,Gobiidae,Gobius,niger
157541,Actinopterygii,Siluriformes,Bagridae,Mystus,bleekeri
157552,Actinopterygii,Perciformes,Centrarchidae,Lepomis,symmetricus
157553,Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,lagowskii
157555,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,hakonensis
157556,Actinopterygii,Cypriniformes,Cyprinidae,Eigenmannia,virescens
157557,Actinopterygii,Cypriniformes,Cyprinidae,Danio,devario
157560,Actinopterygii,Perciformes,Centropomidae,Ambassis,gymnocephalus
157563,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilus,panchax
157566,Actinopterygii,Cypriniformes,Cyprinidae,Chela,cachius
157569,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,melastigma
157624,Actinopterygii,Cyprinodontiformes,Poeciliidae,Cnesterodon,decemmaculatus
157694,Actinopterygii,Perciformes,Sparidae,Stenotomus,versicolor
157702,Actinopterygii,Cypriniformes,Cyprinidae,Platygobio,gracilis
157709,Actinopterygii,Percopsiformes,Percopsidae,Percopsis,omiscomaycus
157710,Actinopterygii,Gadiformes,Gadidae,Lota,lota
157738,Actinopterygii,Perciformes,Centrarchidae,Lepomis,auritus
157742,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,fluviatilis
157904,Actinopterygii,Characiformes,Characidae,Astyanax,bimaculatus
157929,Actinopterygii,Perciformes,Gobiidae,Gobius,sp.
157954,Actinopterygii,Siluriformes,Plotosidae,Plotosus,anguillaris
157956,Actinopterygii,Perciformes,Serranidae,Epinephelus,akaara
157959,Actinopterygii,Semionotiformes,Lepisosteidae,Lepisosteus,oculatus
157960,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,sp.
157961,Actinopterygii,Gasterosteiformes,Syngnathidae,Syngnathus,sp.
157962,Actinopterygii,Perciformes,Sciaenidae,Argyrosomus,japonicus
157967,Actinopterygii,Mugiliformes,Mugilidae,Liza,parsia
158042,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,platyrhynchus
158045,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,placitus
158046,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,aenaeus
158049,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,coelestis
158051,Actinopterygii,Siluriformes,Mochokidae,Synodontis,sp.
158052,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,sp.
158054,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilichthys,johnstonii
158056,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,microps
158117,Actinopterygii,Synbranchiformes,Mastacembelidae,Macrognathus,aculeatus
158122,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,brasiliensis
