,cas,smiles,pubchem2d
0,25474-41-3,,
1,12642-13-6,,
2,68951-67-7,,
3,96638-72-1,,
4,64618-68-4,,
5,188023-86-1,,
6,39289-94-6,,
7,63231-50-5,,
8,626201-67-0,,
9,60617-06-3,,
10,68333-79-9,,
11,56996-80-6,,
12,72574-95-9,,
13,100473-08-3,,
14,8002-13-9,,
15,8003-34-7,,
16,57571-05-8,,
17,39403-84-4,,
18,1330-69-4,,
19,74665-86-4,,
20,8030-30-6,,
21,287967-89-9,,
22,7722-64-7,,
23,95312-94-0,,
24,25155-30-0,,
25,156410-04-7,,
26,65996-94-3,[O-][P-]([O-])=O,
27,8067-49-0,,
28,12772-06-4,,
29,39278-82-5,,
30,61791-26-2,,
31,66594-31-8,,
32,37353-63-2,,
33,56902-08-0,,
34,116580-64-4,,
35,177256-67-6,,
36,87392-12-9,,
37,75139-62-7,,
38,52769-87-6,,
39,858954-83-3,,
40,75139-61-6,,
41,205650-65-3,,
42,37264-94-1,,
43,2274-99-9,,
44,125401-92-5,,
45,26264-06-2,,
46,71706-07-5,,
47,8001-54-5,,
48,400852-66-6,,
49,61711-25-9,,
50,50934-16-2,,
51,1330-43-4,[B+3].[B+3].[B+3].[B+3].O.O.O.O.O.O.O.[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Na+].[Na+],
52,12698-87-2,,
53,39331-45-8,,
54,172521-76-5,,
55,39341-15-6,,
56,12797-87-4,,
57,62010-28-0,,
58,56996-90-8,,
59,1334-77-6,,
60,15067-52-4,,
61,11104-28-2,,
62,37339-61-0,,
63,1461-22-9,[Cl]|[Sn](CCCC)(CCCC)CCCC,
64,74665-84-2,,
65,37301-44-3,,
66,55818-86-5,,
67,66555-33-7,,
68,144940-97-6,,
69,8002-05-9,,
70,11118-72-2,,
71,11096-99-4,,
72,172520-87-5,,
73,68131-39-5,,
74,37296-92-7,,
75,51158-19-1,,
76,1330-38-7,,
77,68188-45-4,,
78,65589-70-0,,
79,8050-84-8,,
80,66419-38-3,,
81,7646-78-8,[Cl]|[Sn](|[Cl])(|[Cl])|[Cl],
82,37223-73-7,,
83,10028-15-6,O=[O]=O,
84,57036-29-0,,
85,154592-20-8,,
86,56996-89-5,,
87,68131-40-8,,
88,66594-32-9,,
89,68411-30-3,,
90,72674-05-6,,
91,20762-60-1,,
92,287967-98-0,,
93,1325-37-7,,
94,70630-17-0,,
95,8007-46-3,,
96,239110-15-7,,
97,365400-11-9,,
98,172306-85-3,,
99,28288-05-3,,
100,639-58-7,[Cl]|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3,
101,56996-94-2,,
102,56646-05-0,,
103,874967-67-6,,
104,99129-21-2,,
105,1399-80-0,,
106,74051-80-2,,
107,39300-45-3,,
108,8007-45-2,,
109,55427-94-6,,
110,39450-05-0,,
111,8003-42-7,,
112,65071-95-6,,
113,8005-72-9,,
114,68608-15-1,,
115,127289-72-9,,
116,176022-82-5,,
117,177256-69-8,,
118,1983-10-4,[F]|[Sn](CCCC)(CCCC)CCCC,
119,39429-71-5,,
120,500008-45-7,,
121,11100-14-4,,
122,1326-82-5,,
123,12774-30-0,,
124,172520-99-9,,
125,108066-01-9,,
126,21548-73-2,[SH--].[Ag+].[Ag+],
127,65431-33-6,,
128,13772-16-2,,
129,23060-14-2,,
130,64742-47-8,,
131,8046-53-5,,
132,58798-67-7,,
133,74871-33-3,,
134,67167-02-6,,
135,54847-85-7,,
136,53826-12-3,,
137,203313-25-1,,
138,658066-35-4,,
139,213464-77-8,,
140,24980-59-4,,
141,244094-39-1,,
142,19826-60-9,,
143,51092-74-1,,
144,70896-08-1,,
145,75022-22-9,,
146,51158-18-0,,
147,17439-94-0,,
148,56896-68-5,,
149,115326-86-8,,
150,3815-21-2,,
151,8030-78-2,,
152,8003-19-8,,
153,66-76-2,,
154,51158-21-5,,
155,31512-74-0,,
156,11100-04-2,,
157,127289-71-8,,
158,1067-14-7,[Cl]|[Pb](CC)(CC)CC,
159,113032-51-2,,
160,172520-93-3,,
161,96352-69-1,,
162,11113-60-3,,
163,53763-47-6,,
164,160759-29-5,,
165,75602-99-2,,
166,68439-50-9,,
167,114247-06-2,,
168,56863-92-4,,
169,14220-17-8,[K+].[K+].[Ni--](|[C]#N)(|[C]#N)(|[C]#N)|[C]#N,
170,7558-80-7,,
171,58561-66-3,,
172,39456-51-4,,
173,8070-47-1,,
174,53572-61-5,,
175,149979-41-9,,
176,57017-81-9,,
177,374726-62-2,,
178,8002-65-1,,
179,56996-99-7,,
180,122467-32-7,,
181,287962-26-9,,
182,198697-58-4,,
183,3441-14-3,,
184,11126-43-5,,
185,66455-14-9,,
186,287967-90-2,,
187,56996-88-4,,
188,3240-78-6,,
189,63148-53-8,,
190,61791-24-0,,
191,12642-23-8,,
192,80209-54-7,,
193,70903-51-4,,
194,63798-36-7,,
195,223671-69-0,,
196,89072-60-6,,
197,11141-16-5,,
198,181314-95-4,,
199,61789-28-4,,
200,210631-68-8,,
201,66523-56-6,,
202,163269-30-5,,
203,379-52-2,[F]|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3,
204,287958-94-5,,
205,85409-17-2,,
206,68439-49-6,,
207,172521-44-7,,
208,68783-78-8,,
209,172521-59-4,,
210,25319-80-6,,
211,317815-83-1,,
212,39362-29-3,,
213,57017-80-8,,
214,25322-20-7,,
215,61912-87-6,,
216,187166-40-1,,
217,63513-77-9,,
218,138757-75-2,,
219,15311-99-6,,
220,53763-77-2,,
221,66829-05-8,,
222,172520-90-0,,
223,53763-29-4,,
224,11071-15-1,,
225,335104-84-2,,
226,72026-99-4,,
227,95686-19-4,,
228,15096-52-3,,
229,138789-81-8,,
230,8012-95-1,,
231,633-96-5,,
232,4299-07-4,,
233,287967-96-8,,
234,3251-29-4,,
235,5138-93-2,,
236,95751-97-6,,
237,15773-35-0,,
238,58561-88-9,,
239,1317-39-1,[OH2--].[Cu+].[Cu+],
240,66594-34-1,,
241,56863-88-8,,
242,201305-50-2,,
243,71379-75-4,,
244,68514-95-4,,
245,27854-31-5,,
246,77466-83-2,,
247,319925-56-9,,
248,172521-26-5,,
249,68534-58-7,,
250,56996-66-8,,
251,67167-01-5,,
252,67526-93-6,,
253,926030-25-3,,
254,181314-88-5,,
255,8001-58-9,,
256,64043-24-9,,
257,74565-67-6,,
258,37841-25-1,,
259,56996-91-9,,
260,64618-64-0,,
261,163515-14-8,,
262,64618-67-3,,
263,8061-51-6,,
264,1197379-18-2,,
265,195209-93-9,,
266,72027-02-2,,
267,138757-71-8,,
268,37337-13-6,,
269,72027-01-1,,
270,1315501-18-8,,
271,19381-50-1,,
272,76560-69-5,,
273,8066-08-8,,
274,372137-35-4,,
275,95266-40-3,,
276,74871-40-2,,
277,68439-46-3,,
278,37324-23-5,,
279,53572-62-6,,
280,27983-69-3,,
281,145607-53-0,,
282,52292-17-8,,
283,53763-67-0,,
284,63653-52-1,,
285,56863-89-9,,
286,172521-84-5,,
287,71212-10-7,,
288,115902-64-2,,
289,161026-34-2,,
290,71531-34-5,,
291,587-98-4,,
292,1332-65-6,,
293,12616-36-3,,
294,1112-38-5,,
295,59708-54-2,,
296,302578-96-7,,
297,172520-88-6,,
298,134109-51-6,,
299,50933-14-7,,
300,71265-70-8,,
301,138789-86-3,,
302,87820-88-0,,
303,422556-08-9,,
304,13762-51-1,,
305,172520-92-2,,
306,287958-91-2,,
307,308079-26-7,,
308,72231-04-0,,
309,53763-38-5,,
310,13466-06-3,,
311,287967-92-4,,
312,172521-37-8,,
313,72027-04-4,,
314,53762-96-2,,
315,138789-82-9,,
316,72026-97-2,,
317,70225-91-1,,
318,33360-84-8,,
319,34503-11-2,,
320,172521-52-7,,
321,53763-70-5,,
322,8012-55-3,,
323,86091-22-7,,
324,53239-78-4,,
325,1197379-16-0,,
326,1161016-82-5,,
327,56863-90-2,,
328,126851-28-3,,
329,51222-40-3,,
330,174300-34-6,,
331,64618-71-9,,
332,1520-78-1,[Cl]|[Pb](C)(C)C,
333,183675-82-3,,
334,139637-98-2,,
335,58561-80-1,,
336,865363-39-9,,
337,8075-74-9,,
338,1686-64-2,,
339,8004-98-6,,
340,172521-19-6,,
341,39290-50-1,,
342,138757-76-3,,
343,70887-84-2,,
344,64365-06-6,,
345,127289-42-3,,
346,85977-73-7,,
347,64618-66-2,,
348,950782-86-2,,
349,60440-48-4,,
350,64618-63-9,,
351,56863-93-5,,
352,58561-78-7,,
353,75534-59-7,,
354,1937-37-7,,
355,858956-08-8,,
356,245367-77-5,,
357,298-07-7,,
358,149961-52-4,,
359,56996-78-2,,
360,145701-23-1,,
361,127289-58-1,,
362,72027-03-3,,
363,56996-37-3,,
364,127277-53-6,,
365,14729-82-9,,
366,1161016-80-3,,
367,56864-03-0,,
368,67254-71-1,,
369,214710-34-6,,
370,1300-21-6,,
371,68952-95-4,,
372,135590-91-9,,
373,57987-02-7,,
374,66231-17-2,,
375,26972-01-0,,
376,64618-65-1,,
377,502-39-6,,
378,1413933-05-7,,
379,25550-58-7,,
380,72027-05-5,,
381,172521-57-2,,
382,172520-86-4,,
383,172521-71-0,,
384,37220-35-2,,
385,1302-78-9,,
386,65996-78-3,,
387,75603-06-4,,
388,138757-72-9,,
389,39412-51-6,,
390,83713-16-0,,
391,16941-12-1,[Cl]|[Pt--](|[Cl])(|[Cl])(|[Cl])(|[Cl])|[Cl].[H+].[H+],
392,37228-47-0,,
393,56863-99-1,,
394,138757-63-8,,
395,172520-73-9,,
396,100092-74-8,,
397,73561-16-7,,
398,16530-58-8,,
399,53763-61-4,,
400,172521-20-9,,
401,16637-16-4,,
402,63148-69-6,,
403,11138-66-2,,
404,172521-43-6,,
405,72026-98-3,,
406,13814-96-5,,
407,1224510-29-5,,
408,139968-49-3,,
409,138757-73-0,,
410,62852-89-5,,
411,53763-42-1,,
412,52038-48-9,,
413,12738-46-4,,
414,63148-62-9,,
415,3212-28-0,,
416,1161016-86-9,,
417,172520-89-7,,
418,66829-03-6,,
419,172521-27-6,,
420,70901-12-1,,
421,138757-64-9,,
422,22555-16-4,,
423,126602-90-2,,
424,86090-90-6,,
425,57017-75-1,,
426,25482-49-9,,
427,138789-53-4,,
428,3663-24-9,,
429,66829-04-7,,
430,1982-42-9,,
431,53988-71-9,,
432,172521-35-6,,
433,172521-73-2,,
434,138790-63-3,,
435,9000-30-0,,
436,172521-58-3,,
437,120786-56-3,,
438,66594-33-0,,
439,97502-63-1,,
440,120067-83-6,,
441,1686-59-5,,
442,172521-30-1,,
443,1520-77-0,[Cl]|[Pb](|[Cl])(C)C,
444,160-02-1,,
445,135285-90-4,,
446,64618-70-8,,
447,8011-76-5,,
448,78565-30-7,,
449,53763-11-4,,
450,302578-97-8,,
451,138757-65-0,,
452,864076-54-0,,
453,812-70-4,,
454,53763-10-3,,
455,172521-36-7,,
456,53763-56-7,,
457,73606-19-6,,
458,25319-82-8,,
459,73263-81-7,,
460,95328-23-7,,
461,53763-53-4,,
462,72027-00-0,,
463,54650-57-6,,
464,172521-64-1,,
465,51142-62-2,,
466,1161016-84-7,,
467,13601-19-9,[Na+].[Na+].[Na+].[Na+].[Fe-4](|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)|[C]#N,
468,561056-62-0,,
469,186825-36-5,,
470,114247-09-5,,
471,138790-38-2,,
472,172520-83-1,,
473,244094-40-4,,
474,8000-29-1,,
475,64618-69-5,,
476,119364-85-1,,
477,172521-70-9,,
478,32289-58-0,,
479,53763-34-1,,
480,53762-97-3,,
